bcr_patient_barcode,B lineage,CD8 T cells,Cytotoxic lymphocytes,Endothelial cells,Fibroblasts,Monocytic lineage,Myeloid dendritic cells,NK cells,Neutrophils,T cells,KRAS,EGFR,CD274,MET,BRAF,ROS1,ALK,ERBB2,ERBB4,DDR2,FGFR1,FGFR2,FGFR3,NTRK1,NTRK2,NTRK3,LTK,RET,NRG1,NRAS,MAP2K1,RIT1
TCGA-86-8359,1.146073283257605,2.93262069469938,1.699485480482855,1.8281542182229569,4.361498504779451,2.439725774477392,1.4504417123113904,0.6923235686124634,2.2196396307222392,2.242975624358699,3.089906826861727,2.356751966792629,1.525243123587444,3.640901623376552,2.2281037576756013,3.0061292616779443,0.0237959110913972,5.015278894493037,0.0917917791958844,1.771091182716149,2.5737033379108243,1.258405659468674,1.843410641686094,0.1912582754910698,0.1864336386557747,0.0124036175988147,1.5691563666955084,0.282011067717355,0.1752721233945088,3.507979031225075,3.6362132597975623,3.5725926184165355
TCGA-86-A4P8,1.7542803535642724,2.496473662291788,2.1824597507840595,3.5753772592951543,4.049926890133348,3.53047727282615,2.7360864338683326,0.9582440804021012,2.2311101096202006,2.811997397614992,3.038264709386456,3.686277160486481,2.7132575432009944,3.769911305906388,2.6944707263392518,4.095115741272737,1.3077369008841284,4.1210857964528,1.1397234312806697,2.704246527230444,3.063566993825509,3.5208667623716003,3.8103467234806394,0.8189399278973957,1.92093617199152,0.6603451780613122,3.7417262645373657,0.7319159037176856,1.0434081306208776,3.724819633361749,4.053249505842765,3.51871623488947
TCGA-91-6848,1.6894859952132208,2.142278207763298,1.512703219419839,3.147275802346128,5.765208796690477,3.441493793756108,2.2781300701848144,0.7072015348061483,1.5982663010611924,2.1163379560264923,3.481526596060641,3.762865046748992,4.030365476709116,5.251398839859529,2.409330327176765,4.169433621100942,0.1231395979108907,3.2569662645204924,0.0486217002836866,3.076987111698906,3.6266423955707774,1.56423460339767,0.6897762584338242,2.268941695190091,0.8466898703725556,0.2441359024746649,0.4668304588472143,0.5762078320046139,3.09459748091382,4.248666078313763,4.464659958161696,3.2919129027259824
TCGA-91-6849,2.5901413191084117,1.5377485379318605,1.2291634269984184,2.072705386867748,3.938488882679177,2.605348671778375,2.274112321104316,0.2695500057789067,2.009596013193092,1.5445247895830112,2.5328032805073883,2.762488560437033,1.359578227246172,3.732231788987414,2.2356445433879872,3.2753291454912614,0.079983749328028,4.253954585489014,0.4606280454023893,1.8446267011268684,2.230079501790052,2.79576557143944,2.6160265550213158,0.1701792450298754,0.4634896037243646,0.0946380777700271,0.5468096615622092,0.3719894549279747,1.3827863136403868,3.5318777775567702,4.08245003917756,4.102232144173152
TCGA-93-A4JN,2.9473581800934188,0.9944452491903408,0.8473427442590501,2.5821381469268774,5.418785465363422,2.421540904731447,2.01629003143047,0.3165564270942583,1.93210862730581,2.058811031683868,2.9436996971529505,3.34865796889607,2.1701849343369406,4.7669437684253335,2.7360077547053976,4.53189422158236,0.1229742062130826,4.483339646816807,0.6473449876653351,2.492089483199096,2.884493815675985,3.2645761543473872,4.635508356684728,0.8931441124887862,0.570984108799004,0.3950284960332376,2.299271782671437,1.4328153883735193,0.4950615996842006,3.967644041233067,3.713716957690536,3.867116780513344
TCGA-93-A4JP,1.0749329972634658,0.8940481193983268,0.9800594906905812,3.416324834066891,4.0569293697317965,3.1261718084287047,1.89169924301307,0.3153878496257541,2.078397171362891,1.5349442751712945,3.148809190379818,4.002837780679815,2.5611793106156195,3.6006356338645493,2.4558839419588643,3.627835535545258,0.2488804134831795,4.7638129562822185,0.5976833148787438,2.8973871991292968,3.0616826345346477,3.278882567492156,3.851100154697294,0.9829513133131912,0.8323390958152895,0.4213730475397303,1.9704909077429127,1.382990741664339,1.1038211657574433,3.8281982848337615,3.8370112405102654,3.6286179028840273
TCGA-95-A4VK,2.8623080356132515,1.869645418469464,1.314591058535732,2.339471676427544,4.254392517252478,2.4691556492265314,1.562822058741922,0.3332802218746084,2.0716824037600725,2.0177965217647023,3.265297844450601,2.9922175462194747,1.7088754588821808,4.063875312638844,2.3465207917655464,3.828623619102579,0.1266775997926739,4.963599183630386,0.2397690449597679,1.828006507324294,2.218035975232463,1.656761179221955,2.773615619475297,0.2604978011008856,0.1953408764610165,0.1022709215171345,2.047355163788812,0.4598298234838747,0.4483859654708783,3.965832052654606,3.793057645860478,3.7609183456207895
TCGA-95-A4VP,2.624941552952301,2.0179566421547595,1.081465260143159,2.919516059134773,4.306204443555151,2.200590531362037,1.4687237708746874,0.2215416778265566,2.057415669290712,1.8590638405135989,2.9459147131804166,1.9926904069665952,1.767480562650558,1.7449972878795108,1.8001500094459704,2.4839079342275068,0.1801695343496465,3.843297384927443,0.3622135106370006,1.7351843177200348,3.271694929175097,1.5199139797948014,1.1141737172111117,0.2639668791299673,0.3908232829288094,0.3638035207197039,1.782855534807509,2.7018672102709043,0.3361844136171437,3.258039429041254,3.2316853750439507,2.8258453719789136
TCGA-97-7554,2.1046945351039685,1.5709506665506658,0.9703871278428636,2.77096543491898,5.474550515159399,2.763201069331364,1.6074385596938388,0.1899693443452619,1.7089741126338822,1.538399088116828,4.540476188450647,4.4957944379459525,3.790863339250895,5.517160820033473,2.669985310804277,3.3082224044720965,0.2893532567220521,4.947220101472712,0.2692319219122023,2.627368774707099,2.9057593244684727,1.444957324363773,1.837402766308474,0.3796973952468921,0.3868724845786733,0.2167811100944489,1.5800007544120245,0.6199751550836978,0.291578346798008,3.9919491457409007,4.2322055529166445,4.118157685313852
TCGA-97-8171,0.8723620975337478,0.1866621779819425,0.1636680370906073,1.8999121279706592,3.0142914275902317,1.6767619532744609,0.7627311037744468,0.019544610441325,1.4619481145600626,0.5096064864831429,2.880110484896196,3.741373482342533,0.5321684276798156,3.9035663417218913,3.276335421296251,4.413529512848787,0.0489487989486509,3.813323330198621,0.1182315249493786,0.9756489641840372,2.210783151515013,2.8858365458844992,4.013419669115821,0.098743870118624,0.1006433915534552,0.0787197845141118,0.1564851714887177,0.17661201197951,0.0302369095414146,3.121955282311339,3.571817315262934,4.0900512377825216
